feature,importance_mean,importance_std,p_value,significant_0_05
firm1*firm3_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1*firm3_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_std_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_max_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_range_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_std_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_max_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_range_20,0.0,0.0,1.0,False
firm1*firm3_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_range_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_avg_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_std_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_max_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_min_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_range_20,0.0,0.0,1.0,False
firm1*macro2_squared_rolling_ret_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_std_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_max_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_squared_rolling_avg_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_range_20,0.0,0.0,1.0,False
firm1*macro2_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm2*macro2_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm2*macro2_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm2*macro2_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm2*macro2_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm2*macro2_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm2*macro2_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_avg_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_std_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_max_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_min_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_range_20,0.0,0.0,1.0,False
firm1*macro2_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm2*macro2_squared_rolling_ret_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_std_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_max_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_min_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_range_20,0.0,0.0,1.0,False
firm2*macro2_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm3*macro2_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_avg_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_std_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_max_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_min_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_range_20,0.0,0.0,1.0,False
firm3*macro2_squared_rolling_ret_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_std_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_max_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_min_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_range_20,0.0,0.0,1.0,False
firm3*macro2_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1*price_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_avg_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_std_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_max_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_min_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_range_20,0.0,0.0,1.0,False
firm1*price_squared_rolling_ret_20,0.0,0.0,1.0,False
