feature,importance_mean,importance_std,p_value,significant_0_05
macro2_squared,5.775,2.628482375438334,1.4077897753838099e-78,True
firm3_cubed,5.77,2.5592673260586025,1.9432376002982123e-80,True
firm1*firm2_lag_1_rolling_ret_20,5.65,2.5983179715745,7.743280637571648e-78,True
firm2_squared,5.485,2.333883041253623,1.835886568003996e-83,True
price_rolling_ret_20,5.365,2.5641076890813377,4.1923361250977847e-75,True
price/macro2_lag_1_rolling_ret_20,5.24,2.2196925858954866,8.630757677369828e-84,True
firm1*macro2_rolling_ret_20,5.16,2.450392236061967,1.4809650558805262e-75,True
price_log_ret_rolling_ret_20,5.125,2.557750071280554,4.4580238841298516e-72,True
firm2*macro2_squared,5.09,2.379117694655968,1.1132956784312906e-76,True
macro2*price_lag_1_rolling_ret_20,4.96,2.2966875863614393,2.388837012839824e-77,True
firm2*macro2_cubed,4.89,2.7008094822287028,3.4019254215061216e-65,True
macro2*price_squared_rolling_ret_20,4.85,2.2072288727004303,1.382613110638321e-78,True
macro2_squared_rolling_avg_20,4.8,2.0200004975371297,2.8424793549463686e-84,True
price/firm2_lag_1,4.765,2.4371032727008197,2.192009015716896e-70,True
firm1*firm2_lag_1,4.635,2.416811928863621,4.579348466205707e-69,True
price/firm3,4.59,2.239862702181344,1.2150741804060221e-73,True
macro2_rolling_std_20,4.57,2.236090450431862,1.8709644690217826e-73,True
macro2_squared_rolling_std_20,4.555,2.278802250852948,6.566906746202667e-72,True
price/firm3_rolling_ret_20,4.555,2.369609725515211,3.185335183943083e-69,True
firm1*macro2_lag_1_rolling_ret_20,4.48,2.58903757753522,3.220289246325332e-62,True
firm1*firm3_lag_1,4.455,2.0613638944950106,2.1219869958929418e-77,True
price/firm2_lag_1_rolling_ret_20,4.415,2.3771895487642043,6.793541759415706e-67,True
firm2*firm3_rolling_ret_20,4.345,2.0486482858204282,4.614599804598564e-76,True
price/firm1,4.33,2.071850094497753,5.061004132322591e-75,True
price/firm3_lag_1,4.325,2.198531945086958,8.299741107206249e-71,True
firm2*macro2_lag_1_rolling_ret_20,4.285,2.3368954623624165,4.88516342425111e-66,True
price/firm2,4.23,2.2387855645461205,4.717751171897948e-68,True
price/firm1_rolling_ret_20,4.215,2.3207118557864823,2.1058049276926873e-65,True
macro2_squared_rolling_high/low_20,4.185,1.3302718201848398,1.1537604196464887e-105,True
macro2*price_rolling_ret_20,4.085,2.154293364307072,2.6948717544769697e-68,True
firm1*firm2_rolling_ret_20,4.01,1.9619239864590101,1.846611061537168e-73,True
firm3*macro2_lag_1_rolling_ret_20,3.99,2.3339099550736657,1.954866657350827e-61,True
firm1*macro2_squared,3.955,2.0988091861815366,7.13711982950598e-68,True
firm1_rolling_ret_20,3.91,1.9288604181129372,6.958633687723268e-73,True
firm1*firm3_lag_1_rolling_ret_20,3.855,1.8523311402841371,9.998638993098022e-75,True
firm1*firm3_rolling_ret_20,3.81,2.2781240629586375,5.035664442383883e-60,True
price/macro2_rolling_ret_20,3.785,2.1310754121007323,6.343610302621764e-64,True
price/firm3_lag_1_rolling_ret_20,3.745,2.1100322701097536,7.054110539625118e-64,True
macro2_rolling_ret_20,3.705,1.8883336622801863,1.2597092010773328e-70,True
macro2_lag_1_rolling_ret_20,3.675,2.0297721237547486,3.40773864057051e-65,True
firm3_rolling_ret_20,3.66,2.003614823714639,8.741497112558699e-66,True
price/firm2_rolling_ret_20,3.63,1.9601815114394228,1.0624815221505166e-66,True
price/firm1_lag_1_rolling_ret_20,3.55,2.200388270899837,9.481608774647737e-58,True
price/macro2_lag_1_rolling_high/low_20,3.545,1.9665481325889138,6.643895863760091e-65,True
price/firm1_lag_1,3.535,2.145176897040891,4.391425008539764e-59,True
price_log_ret_rolling_high/low_20,3.465,2.0419655030332633,5.903781081505958e-61,True
price/macro2_squared_rolling_high/low_20,3.455,1.6799063745148652,6.78074230109111e-74,True
firm2*macro2_rolling_ret_20,3.395,1.8373497955905904,1.495923646805783e-66,True
firm3*macro2_rolling_ret_20,3.275,1.7419953325693698,1.024560836285675e-67,True
firm2*firm3_lag_1_rolling_ret_20,3.255,1.8888658158672245,5.9619802358969785e-62,True
macro2_lag_1_rolling_avg_20,3.225,1.7491922040856955,2.1005053498343147e-66,True
firm3_rolling_avg_20,3.185,1.8703652936414015,3.503747147324469e-61,True
firm2_lag_1_rolling_ret_20,3.17,1.8704526096172882,7.103021900867929e-61,True
firm1*firm2_cubed,3.155,1.7653775202332005,2.474199081393204e-64,True
firm1_squared,3.155,1.7908126787163576,2.1593778580425028e-63,True
firm1*firm3_rolling_high/low_20,3.15,1.8204588300092903,3.2313663954051833e-62,True
firm1*firm2_squared,3.135,1.9301300500355534,3.5862940009228e-58,True
firm3_lag_1_rolling_ret_20,3.13,1.9055855481733242,7.050330826652147e-59,True
firm1*macro2_cubed,3.08,1.8898299623067045,2.190886236103067e-58,True
firm1_lag_1_rolling_ret_20,3.015,1.8114030210095744,1.015885518060027e-59,True
firm2*firm3_squared,2.995,1.8526024069918405,7.06441749398921e-58,True
firm3_squared_rolling_avg_20,2.985,2.0508057002311326,1.729477974789984e-51,True
firm1_lag_1_rolling_std_20,2.965,2.0407346691693538,2.2077112373702112e-51,True
firm2*price_cubed,2.945,1.7854732069858457,3.8318208307399035e-59,True
firm2_rolling_ret_20,2.915,1.7065569675276242,2.2196309508378855e-61,True
price/macro2,2.87,1.7430695503296556,4.954399083880528e-59,True
price_log_ret_rolling_avg_20,2.845,1.7625287338617894,8.822121272580198e-58,True
firm2*macro2_rolling_avg_20,2.835,1.9664970258721013,6.321193493421298e-51,True
firm3*macro2_squared,2.805,1.7470650190832968,1.9060520257074038e-57,True
firm1*macro2_squared_rolling_high/low_20,2.755,1.4920139167039261,1.663697242478436e-66,True
firm1_rolling_avg_20,2.705,1.8588306152744003,1.7801240405838642e-51,True
firm3_squared,2.665,1.4468037897483372,2.424861211508489e-66,True
price/macro2_rolling_high/low_20,2.62,1.6762005372884345,8.77589055231542e-56,True
firm2*firm3_rolling_high/low_20,2.605,1.7676532436962138,3.1871032377950014e-52,True
macro2_squared_rolling_ret_20,2.595,1.644535644927521,2.2808582444950536e-56,True
firm1*firm3_squared_rolling_high/low_20,2.57,1.7947718601958162,1.5702485410344857e-50,True
firm1_rolling_std_20,2.555,1.789689903237079,2.3541661014998134e-50,True
firm2*firm3_squared_rolling_high/low_20,2.55,1.8259712085001116,4.415222876370959e-49,True
firm2_lag_1_rolling_std_20,2.53,1.6378377706030796,4.646240629954677e-55,True
price_lag_1_rolling_high/low_20,2.53,1.7986874052790673,1.7060229181983886e-49,True
firm1*firm3_squared,2.52,1.5169395266912222,1.3489104738682111e-59,True
price/firm3_squared,2.51,1.7933153374399846,3.2855574372906574e-49,True
firm3*price_cubed,2.5,1.762250730795977,5.476007846580933e-50,True
firm3*macro2_squared_rolling_ret_20,2.49,1.8128242215646442,3.900662067233051e-48,True
firm3*price_squared_rolling_min_20,2.49,1.6164667717341437,6.890309168195075e-55,True
